Time_sec	X_HCN
382.266	0.000142274
384.266	0.000150241
386.266	0.000156517
390.266	0.000162606
392.266	0.000170882
394.266	0.000177912
396.266	0.000187018
400.266	0.000191603
402.266	0.000186117
404.266	0.000191007
406.266	0.000199933
410.266	0.000209941
412.266	0.000218549
414.266	0.000224559
416.266	0.000231431
420.266	0.000240063
422.266	0.000246822
424.266	0.000253413
426.266	0.000260882
430.266	0.000267449
432.266	0.000273807
434.266	0.000280163
436.266	0.000286602
440.266	0.000291846
442.266	0.000297487
444.266	0.000303373
446.266	0.000310683
450.266	0.000316688
452.266	0.000323823
454.266	0.000329434
456.266	0.000336715
460.266	0.000344215
462.266	0.00035047
464.266	0.000358985
468.266	0.000362569
470.266	0.000369831
472.266	0.000376609
474.266	0.000377936
478.266	0.000383082
480.266	0.000389284
482.266	0.000393888
486.266	0.000391055
488.266	0.000395374
490.266	0.000397848
492.266	0.000402848
496.266	0.000406832
498.266	0.000408084
500.266	0.000409871
504.266	0.000411483
506.266	0.000414741
508.266	0.000422367
510.266	0.0004236
514.266	0.000431355
516.266	0.000432287
518.266	0.000439334
522.266	0.000450107
524.266	0.0004557
526.266	0.000465594
528.266	0.000478702
532.266	0.000485783
534.266	0.000495369
536.266	0.00050344
540.266	0.000510157
542.266	0.000517121
544.266	0.000522808
546.266	0.000526767
550.266	0.000529754
552.266	0.000531759
554.266	0.000536687
558.266	0.000538982
560.266	0.000541401
562.266	0.000546419
566.266	0.000545301
568.266	0.000552014
570.266	0.000551972
572.266	0.000560812
576.266	0.000559344
578.266	0.000564151
580.266	0.000573439
584.266	0.00057336
586.266	0.000578696
588.266	0.000584434
592.266	0.000583037
594.266	0.00058833
596.266	0.000593073
600.266	0.000599924
602.266	0.000601542
604.266	0.000608938
608.266	0.000611754
610.266	0.000617287
612.266	0.000626156
616.266	0.000632272
618.266	0.00064212
620.266	0.000653658
624.266	0.000667843
626.266	0.000684294
628.266	0.000701229
632.266	0.000721454
634.266	0.00074242
636.266	0.000764215
638.266	0.000781705
642.266	0.000798074
644.266	0.000813859
648.266	0.000829731
650.266	0.000844509
652.266	0.000856931
656.266	0.000871076
658.266	0.000880878
660.266	0.000893809
664.266	0.000906795
666.266	0.000917651
668.266	0.00092045
672.266	0.000931451
674.266	0.000941895
676.266	0.000946954
680.266	0.000959773
682.266	0.000968885
684.266	0.00097538
688.266	0.000986124
690.266	0.000988902
692.266	0.000991182
696.266	0.000995091
698.266	0.001001627
700.266	0.001010525
704.266	0.001015163
706.266	0.001020063
710.266	0.001022824
712.266	0.001067509
714.266	0.001071344
718.266	0.001080549
720.266	0.001087242
722.266	0.001090785
726.266	0.001097561
728.266	0.001101812
732.266	0.001107065
734.266	0.001111767
736.266	0.001121717
740.266	0.001125403
742.266	0.00113294
744.266	0.00114115
748.266	0.001140423
750.266	0.001143483
754.266	0.00114994
756.266	0.001148916
758.266	0.001153657
762.266	0.001158432
764.266	0.001154724
766.266	0.001157606
770.266	0.001163077
772.266	0.001164029
776.266	0.001154429
778.266	0.001156949
780.266	0.001154855
784.266	0.001160553
786.266	0.001167559
790.266	0.001172807
792.266	0.001175236
794.266	0.001166312
798.266	0.001174281
800.266	0.001191925
804.266	0.00119938
806.266	0.001217263
808.266	0.001236259
812.266	0.001247894
814.266	0.001271667
816.266	0.001285339
820.266	0.001307657
822.266	0.001332087
826.266	0.001352237
828.266	0.00137077
832.266	0.001398631
834.266	0.001419376
836.266	0.00143383
840.266	0.001441725
842.266	0.001456279
846.266	0.001468839
848.266	0.001473256
850.266	0.001486711
854.266	0.001478066
856.266	0.001480641
860.266	0.001469378
862.266	0.001468079
866.266	0.001454386
868.266	0.001431837
870.266	0.001419255
874.266	0.001405702
876.266	0.00137495
880.266	0.001360216
882.266	0.00133956
884.266	0.001313474
888.266	0.001279912
890.266	0.001259244
894.266	0.001233199
896.266	0.001205668
898.266	0.001185851
902.266	0.001165602
904.266	0.001135488
908.266	0.001110565
910.266	0.001088023
914.266	0.00105861
916.266	0.001036565
918.266	0.00101394
922.266	0.000989544
924.266	0.00096482
928.266	0.000941886
930.266	0.000919696
934.266	0.000903817
936.266	0.00088561
940.266	0.000865295
942.266	0.000846868
944.266	0.000834418
948.266	0.000808413
950.266	0.0007913
