Time_sec	X_C2H2
401.344	2.40E-05
405.344	2.54E-05
407.344	2.73E-05
409.344	3.09E-05
411.344	3.97E-05
415.344	4.08E-05
417.344	3.98E-05
419.344	4.21E-05
421.344	5.11E-05
425.344	6.55E-05
427.344	7.88E-05
429.344	0.000116107
433.344	0.000220888
435.344	0.000341564
437.344	0.000496623
439.344	0.000667163
443.344	0.000817323
445.344	0.000956948
447.344	0.001025075
449.344	0.001132557
453.344	0.001278292
455.344	0.001446564
457.344	0.001628201
461.344	0.001783033
463.344	0.001907754
465.344	0.002016264
467.344	0.002121739
471.344	0.00219508
473.344	0.002194081
475.344	0.002156613
479.344	0.002176111
481.344	0.002201961
483.344	0.002208985
485.344	0.002133281
489.344	0.002106557
491.344	0.002056548
493.344	0.00204469
497.344	0.002032466
499.344	0.002048737
501.344	0.002070855
503.344	0.002009516
507.344	0.001959887
509.344	0.0018864
511.344	0.001791171
515.344	0.001781329
517.344	0.001654672
519.344	0.001623264
523.344	0.001613467
525.344	0.001471156
527.344	0.001379027
531.344	0.001225174
533.344	0.001087877
535.344	0.000951509
537.344	0.000833129
541.344	0.000776686
543.344	0.000724176
545.344	0.000663448
549.344	0.000620229
551.344	0.000552671
553.344	0.000519805
557.344	0.000563042
559.344	0.000593394
561.344	0.00062986
563.344	0.000640655
567.344	0.000634064
569.344	0.000616577
571.344	0.000609079
575.344	0.000556179
577.344	0.000506479
579.344	0.000444886
583.344	0.000376083
585.344	0.000309134
587.344	0.000251477
591.344	0.000191991
593.344	0.000151351
595.344	0.000113882
599.344	8.92E-05
601.344	6.46E-05
603.344	4.96E-05
607.344	4.33E-05
609.344	2.84E-05
611.344	2.76E-05
615.344	2.40E-05
617.344	1.67E-05
619.344	2.02E-05
623.344	1.58E-05
625.344	1.72E-05
627.344	1.34E-05
631.344	1.42E-05
633.344	1.08E-05
635.344	1.69E-05
639.344	1.78E-05
641.344	1.94E-05
643.344	1.71E-05
647.344	1.47E-05
649.344	1.34E-05
651.344	1.13E-05
655.344	1.69E-05
657.344	1.10E-05
659.344	1.72E-05
663.344	1.84E-05
665.344	1.24E-05
667.344	1.63E-05
671.344	1.40E-05
673.344	1.58E-05
675.344	1.06E-05
679.344	9.62E-06
681.344	1.93E-05
683.344	1.57E-05
687.344	0
689.344	0
693.344	0
695.344	0
697.344	0
701.344	0
703.344	0
705.344	0
709.344	0
711.344	0
715.344	0
717.344	0
719.344	0
723.344	0
725.344	0
729.344	0
731.344	0
733.344	0
737.344	0
739.344	0
741.344	0
745.344	0
747.344	0
749.344	0
753.344	0
755.344	0
759.344	0
761.344	0
763.344	0
767.344	0
769.344	0
773.344	0
775.344	0
777.344	0
781.344	0
783.344	0
787.344	0
789.344	0
791.344	0
795.344	0
797.344	0
801.344	0
803.344	0
805.344	0
809.344	0
811.344	0
813.344	0
817.344	0
819.344	0
823.344	0
825.344	0
829.344	0
831.344	0
833.344	0
837.344	0
839.344	0
843.344	0
845.344	0
847.344	0
851.344	0
853.344	0
